# id	slug	title	featured_media	link
32591	pk-6272-natural-rustic-oak	PK-6272 Natural Rustic Oak	32592	https://patex.com.pk/product/pk-6272-natural-rustic-oak/
32588	pk-6271-grey-rustic-oak	PK-6271 Grey Rustic Oak	32589	https://patex.com.pk/product/pk-6271-grey-rustic-oak/
32585	pk-6270-nero-gold-marble	PK-6270 Nero Gold Marble	32586	https://patex.com.pk/product/pk-6270-nero-gold-marble/
32582	pk-6269-gold-cell	PK-6269 Gold Cell	32583	https://patex.com.pk/product/pk-6269-gold-cell/
32417	pk-6268-hilton-oro	PK-6268 Hilton Oro	32418	https://patex.com.pk/product/pk-6268-hilton-oro/
32341	pk-6263-urban-artisan-oak	PK-6263 Urban Artisan Oak	32342	https://patex.com.pk/product/pk-6263-urban-artisan-oak/
32336	pk-6267-mistwood	PK-6267 Mistwood	32349	https://patex.com.pk/product/pk-6267-mistwood/
32335	pk-6266-rustic-timberline	PK-6266 Rustic Timberline	32347	https://patex.com.pk/product/pk-6266-rustic-timberline/
32334	pk-6265-artic-nero	PK-6265 Artic Nero	32346	https://patex.com.pk/product/pk-6265-artic-nero/
32333	pk-6264-cottage-oak	PK-6264 Cottage Oak	32344	https://patex.com.pk/product/pk-6264-cottage-oak/
32290	pk-6260-luxurious-onyx	PK-6260 Luxurious Onyx	32293	https://patex.com.pk/product/pk-6260-luxurious-onyx/
32287	pk-6262-cocoa-vein	PK-6262 Cocoa Vein	32297	https://patex.com.pk/product/pk-6262-cocoa-vein/
32286	pk-6261-nero-grafite	PK-6261 Nero Grafite	32295	https://patex.com.pk/product/pk-6261-nero-grafite/
32285	pk-6259-desert-sand-flow	PK-6259 Desert Sand Flow	32292	https://patex.com.pk/product/pk-6259-desert-sand-flow/
32273	pk-6254-mystic-blue	PK-6254 Mystic Blue	32276	https://patex.com.pk/product/pk-6254-mystic-blue/
32272	pk-6258-gilded-cream	PK-6258 Gilded Cream	32284	https://patex.com.pk/product/pk-6258-gilded-cream/
32271	pk-6257-alloy-marble	PK-6257 Alloy Marble	32283	https://patex.com.pk/product/pk-6257-alloy-marble/
32269	pk-6256-abstract-teal-gold	PK-6256 Abstract Teal Gold	32280	https://patex.com.pk/product/pk-6256-abstract-teal-gold/
32267	pk-6255-azure-peach	PK-6255 Azure Peach	32278	https://patex.com.pk/product/pk-6255-azure-peach/
32266	pk-6253-galaxy-gold	PK-6253 Galaxy Gold	32275	https://patex.com.pk/product/pk-6253-galaxy-gold/
32256	pk-6248-vegas-gold	PK-6248 Vegas Gold	32258	https://patex.com.pk/product/pk-6248-vegas-gold/
32254	pk-6252-mystic-onyx	PK-6252 Mystic Onyx	32268	https://patex.com.pk/product/pk-6252-mystic-onyx/
32253	pk-6251-coastal-breeze	PK-6251 Coastal Breeze	32264	https://patex.com.pk/product/pk-6251-coastal-breeze/
32252	pk-6250-mountain-ash	PK-6250 Mountain Ash	32263	https://patex.com.pk/product/pk-6250-mountain-ash/
32251	pk-6249-tidal-gold	PK-6249 Tidal Gold	32261	https://patex.com.pk/product/pk-6249-tidal-gold/
32250	pk-6247-desert-agate	PK-6247 Desert Agate	32257	https://patex.com.pk/product/pk-6247-desert-agate/
32236	pk-6241-imperial-gold-vein	PK-6241 Imperial Gold Vein	32238	https://patex.com.pk/product/pk-6241-imperial-gold-vein/
32235	pk-6246-copper-canyon	PK-6246 Copper Canyon	32248	https://patex.com.pk/product/pk-6246-copper-canyon/
32234	pk-6245-glacier-white	PK-6245 Glacier White	32247	https://patex.com.pk/product/pk-6245-glacier-white/
32232	pk-6244-classic-cream-onyx	PK-6244 Classic Cream Onyx	32244	https://patex.com.pk/product/pk-6244-classic-cream-onyx/
32230	pk-6243-shadow-stream	PK-6243 Shadow Stream	32243	https://patex.com.pk/product/pk-6243-shadow-stream/
32229	pk-6242-midnight-wave	PK-6242 Midnight Wave	32240	https://patex.com.pk/product/pk-6242-midnight-wave/
32228	pk-6240-elf-bravo	PK-6240 Elf Bravo	32237	https://patex.com.pk/product/pk-6240-elf-bravo/
32219	pk-6239-elf-alpha	PK-6239 Elf Alpha	32226	https://patex.com.pk/product/pk-6239-elf-alpha/
32217	pk-6238-money-penny-bravo	PK-6238 Money Penny Bravo	32223	https://patex.com.pk/product/pk-6238-money-penny-bravo/
32216	pk-6237-money-penny-alpha	PK-6237 Money Penny Alpha	32221	https://patex.com.pk/product/pk-6237-money-penny-alpha/
32215	pk-6236-k2-charlie	PK-6236 K2 Charlie	32220	https://patex.com.pk/product/pk-6236-k2-charlie/
32209	pk-6235-k2-bravo	PK-6235 K2 Bravo	32212	https://patex.com.pk/product/pk-6235-k2-bravo/
32208	pk-6234-k2-alpha	PK-6234 K2 Alpha	32211	https://patex.com.pk/product/pk-6234-k2-alpha/
32173	pk-6233-ikea-pine	PK-6233 Ikea Pine	32190	https://patex.com.pk/product/pk-6233-ikea-pine/
31815	pk-1091-ocean-green	PK-1091 Ocean Green	31816	https://patex.com.pk/product/pk-1091-ocean-green/
31812	pk-1090-lime-green	PK-1090 Lime Green	31813	https://patex.com.pk/product/pk-1090-lime-green/
31809	pk-1067-alpine-grey	PK-1067 Alpine Grey	31810	https://patex.com.pk/product/pk-1067-alpine-grey/
31806	pk-6220-antique-pine	PK-6220 Antique Pine	31807	https://patex.com.pk/product/pk-6220-antique-pine/
31802	pk-6232-milky-way	PK-6232 Milky Way	31803	https://patex.com.pk/product/pk-6232-milky-way/
31799	pk-6231-digital-teak	PK-6231 Digital Teak	31800	https://patex.com.pk/product/pk-6231-digital-teak/
31786	pk-6230-imperial-white-gold	PK-6230 Imperial White Gold	31787	https://patex.com.pk/product/pk-6230-imperial-white-gold/
31783	pk-6229-gold-rush-delta	PK-6229 Gold Rush Delta	31784	https://patex.com.pk/product/pk-6229-gold-rush-delta/
31780	pk-6228-gold-rush-charlie	PK-6228 Gold Rush Charlie	31781	https://patex.com.pk/product/pk-6228-gold-rush-charlie/
31777	pk-6227-gold-rush-bravo	PK-6227 Gold Rush Bravo	31778	https://patex.com.pk/product/pk-6227-gold-rush-bravo/
31774	pk-6226-gold-rush-alpha	PK-6226 Gold Rush Alpha	31775	https://patex.com.pk/product/pk-6226-gold-rush-alpha/
31771	pk-6225-black-marquina-marble	PK-6225 Black Marquina Marble	31772	https://patex.com.pk/product/pk-6225-black-marquina-marble/
31768	pk-6224-urban-maple	PK-6224 Urban Maple	31769	https://patex.com.pk/product/pk-6224-urban-maple/
31765	pk-6223-horizontal-impression	PK-6223 Horizontal Impression	31766	https://patex.com.pk/product/pk-6223-horizontal-impression/
31762	pk-6222-rubiks-cube	PK-6222 Rubik's Cube	31763	https://patex.com.pk/product/pk-6222-rubiks-cube/
31760	pk-6221-pendragon-castle-elm-rosewood	PK-6221 Pendragon Castle ELM Rosewood	31756	https://patex.com.pk/product/pk-6221-pendragon-castle-elm-rosewood/
31749	pk-6219-jaded-maple	PK-6219 Jaded Maple	31750	https://patex.com.pk/product/pk-6219-jaded-maple/
31745	pk-6218-dark-amber	PK-6218 Dark Amber	31746	https://patex.com.pk/product/pk-6218-dark-amber/
31092	pk-6215-osaka-musk	PK-6215 Osaka Musk	31340	https://patex.com.pk/product/pk-6215-osaka-musk/
30901	pk-1045-graphite-grey	PK-1045 Graphite Grey	30869	https://patex.com.pk/product/pk-1045-graphite-grey/
30853	pk-6217-alpha-chevron	PK-6217 Alpha Chevron	30848	https://patex.com.pk/product/pk-6217-alpha-chevron/
30851	pk-6216-jodi-rock	PK-6216 Jodi Rock	30847	https://patex.com.pk/product/pk-6216-jodi-rock/
30817	pk-6190-silver-lightning	PK-6190 Silver Lightning	30818	https://patex.com.pk/product/pk-6190-silver-lightning/
30812	pk-6189-gold-lighting	PK-6189 Gold Lighting	30813	https://patex.com.pk/product/pk-6189-gold-lighting/
30772	pk-6009-blocks	PK-6009 Blocks	30773	https://patex.com.pk/product/pk-6009-blocks/
30762	pk-5520-splend-flowers	PK-5520 Splend Flowers	30763	https://patex.com.pk/product/pk-5520-splend-flowers/
30691	pk-6203-kohsar-pine	PK-6203 Kohsar Pine	30989	https://patex.com.pk/product/pk-6203-kohsar-pine/
30690	pk-6206-antique-gold	PK-6206 Antique Gold	30990	https://patex.com.pk/product/pk-6206-antique-gold/
30688	pk-6214-oxford	PK-6214 Oxford	30991	https://patex.com.pk/product/pk-6214-oxford/
30675	pk-6202-snow-cap	PK-6202 Snow Cap	30836	https://patex.com.pk/product/pk-6202-snow-cap/
30674	pk-6204-black-gold-2	PK-6204 Black Gold	30838	https://patex.com.pk/product/pk-6204-black-gold-2/
30673	pk-6205-carrara-white	PK-6205 Carrara White	30841	https://patex.com.pk/product/pk-6205-carrara-white/
30672	pk-6207-atlantic-stone	PK-6207 Atlantic Stone	30839	https://patex.com.pk/product/pk-6207-atlantic-stone/
30671	pk-6208-dove-grey	PK-6208 Dove Grey	30840	https://patex.com.pk/product/pk-6208-dove-grey/
30670	pk-6209-black-emperador-marble	PK-6209 Black Emperador Marble	30843	https://patex.com.pk/product/pk-6209-black-emperador-marble/
30669	pk-6210-majestic-marble	PK-6210 Majestic Marble	30849	https://patex.com.pk/product/pk-6210-majestic-marble/
30668	pk-6211-marlbela	PK-6211 Marlbela	30844	https://patex.com.pk/product/pk-6211-marlbela/
30667	pk-6212-egyptian-treasure	PK-6212 Egyptian Treasure	30845	https://patex.com.pk/product/pk-6212-egyptian-treasure/
30657	pk-6213-taj-mahal	PK-6213 Taj Mahal	30846	https://patex.com.pk/product/pk-6213-taj-mahal/
30646	pk-1050-olive-yellow	PK-1052 Olive Yellow	30871	https://patex.com.pk/product/pk-1050-olive-yellow/
30645	pk-1050-royal-purple	PK-1050 Royal Purple	30870	https://patex.com.pk/product/pk-1050-royal-purple/
30644	pk-1054-porsche-brown	PK-1054 Porsche Brown	30872	https://patex.com.pk/product/pk-1054-porsche-brown/
30643	pk-1056-flamingo-pink	PK-1056 Flamingo Pink	30873	https://patex.com.pk/product/pk-1056-flamingo-pink/
30642	pk-1058-niagara-blue	PK-1058 Niagara Blue	30874	https://patex.com.pk/product/pk-1058-niagara-blue/
30641	pk-1060-horizon-blue	PK-1060 Horizon Blue	30875	https://patex.com.pk/product/pk-1060-horizon-blue/
30640	pk-1062-glacier-blue	PK-1062 Glacier Blue	30876	https://patex.com.pk/product/pk-1062-glacier-blue/
30639	pk-1064-scottish-yellow	PK-1064 Scottish Yellow	30877	https://patex.com.pk/product/pk-1064-scottish-yellow/
30637	pk-1066-artic-green	PK-1066 Artic Green	30878	https://patex.com.pk/product/pk-1066-artic-green/
30358	pk-1085-flag-green	PK-1085 Flag Green	30884	https://patex.com.pk/product/pk-1085-flag-green/
30347	pk-5450-fire-bolt	PK-5450 Fire Bolt	30723	https://patex.com.pk/product/pk-5450-fire-bolt/
30332	pk-6085-hill-pine-dark-grey	PK-6085 Hill Pine (Dark Grey)	30955	https://patex.com.pk/product/pk-6085-hill-pine-dark-grey/
30331	pk-2327-golden-walnut	PK-2327 Golden Walnut	30923	https://patex.com.pk/product/pk-2327-golden-walnut/
30211	pk-6191-light-valley-oak	PK-6191 Light Valley Oak	30986	https://patex.com.pk/product/pk-6191-light-valley-oak/
