# id	slug	title	featured_media	link
29164	pk-6188-tiger-ash	PK-6188 Oxford Oak	30985	https://patex.com.pk/product/pk-6188-tiger-ash/
29163	pk-6165-vertical-weathered-pine	PK-6165 Vertical Weathered Pine	30966	https://patex.com.pk/product/pk-6165-vertical-weathered-pine/
29162	pk-6164-rough-cut-fumed-oak	PK-6164 Rough Cut Fumed	30965	https://patex.com.pk/product/pk-6164-rough-cut-fumed-oak/
29160	pk-6163-golden-teak	PK-6163 Golden Teak	30964	https://patex.com.pk/product/pk-6163-golden-teak/
29159	pk-6162-floral-oak	PK-6162 Floral Oak	30963	https://patex.com.pk/product/pk-6162-floral-oak/
29158	pk-6161-hill-pine-dark-grey	PK-6161 Hill Pine (Dark Grey)	30962	https://patex.com.pk/product/pk-6161-hill-pine-dark-grey/
29157	pk-6160-country-oak	PK-6160 Country Oak	30961	https://patex.com.pk/product/pk-6160-country-oak/
29156	pk-6159-toronto-oak	PK-6159 Toronto Oak	30960	https://patex.com.pk/product/pk-6159-toronto-oak/
29155	pk-6155-hill-pine-beige	PK-6155 Hill Pine (Beige)	30958	https://patex.com.pk/product/pk-6155-hill-pine-beige/
29154	pk-6154-kerf-oak	PK-6154 Kerf Oak	30957	https://patex.com.pk/product/pk-6154-kerf-oak/
29153	pk-6033-grey-bamboo	PK-6033 Grey Bamboo	30937	https://patex.com.pk/product/pk-6033-grey-bamboo/
29152	pk-6032-natural-bamboo	PK-6032 Natural Bamboo	30936	https://patex.com.pk/product/pk-6032-natural-bamboo/
29151	pk-6031-light-bamboo	PK-6031 Light Bamboo	30935	https://patex.com.pk/product/pk-6031-light-bamboo/
29161	pk-6030-rustic-walnut	PK-6030 Rustic Walnut	30934	https://patex.com.pk/product/pk-6030-rustic-walnut/
29150	pk-6158-grey-polar-oak	PK-6158 Grey Polar Oak	30959	https://patex.com.pk/product/pk-6158-grey-polar-oak/
29140	pk-6157-star-textile	PK-6157 Star Textile	30800	https://patex.com.pk/product/pk-6157-star-textile/
29136	pk-6156-floral-fantasy	PK-6156 Floral Fantasy	30797	https://patex.com.pk/product/pk-6156-floral-fantasy/
29134	pk-5531-portoro	PK-5531 Portoro	30770	https://patex.com.pk/product/pk-5531-portoro/
29131	pk-5530-carrara-marble	PK-5530 Carrara Marble	30768	https://patex.com.pk/product/pk-5530-carrara-marble/
29128	pk-1086-tea-pink	PK-1086 Tea Pink	30885	https://patex.com.pk/product/pk-1086-tea-pink/
28094	pk-6187-tuscany	PK-6187 Tuscany	30984	https://patex.com.pk/product/pk-6187-tuscany/
28091	pk-6186-alfredo-oak	PK-6186 Alfredo Oak	30983	https://patex.com.pk/product/pk-6186-alfredo-oak/
28088	pk-6185-tropicana	PK-6185 TROPICANA	28089	https://patex.com.pk/product/pk-6185-tropicana/
28085	pk-6184-light-linen	PK-6184 Light Linen	30981	https://patex.com.pk/product/pk-6184-light-linen/
28082	pk-6183-alpha-noir	PK-6183 ALPHA NOIR	30811	https://patex.com.pk/product/pk-6183-alpha-noir/
28080	pk-6182-hamburg-eye	PK-6182 Hamburg Eye	30980	https://patex.com.pk/product/pk-6182-hamburg-eye/
28074	pk-6178-hilton-vertical	PK-6178 Hilton Vertical	30977	https://patex.com.pk/product/pk-6178-hilton-vertical/
27123	pk-6181-abidjan	PK-6181 Abidjan	30979	https://patex.com.pk/product/pk-6181-abidjan/
27120	pk-6180-sahara	PK-6180 Sahara	30809	https://patex.com.pk/product/pk-6180-sahara/
27117	pk-6179-olive-ash	PK-6179 Olive Ash	30978	https://patex.com.pk/product/pk-6179-olive-ash/
27113	pk-6177-gb-pine	PK-6177 GB Pine	30976	https://patex.com.pk/product/pk-6177-gb-pine/
27108	pk-6176-shigaaf	PK-6176 Shigaaf	30975	https://patex.com.pk/product/pk-6176-shigaaf/
27105	pk-6175-3d-gold	PK-6175 3D Gold	30974	https://patex.com.pk/product/pk-6175-3d-gold/
27100	pk-6174-gery-pool	PK-6174 Grey Pool	30805	https://patex.com.pk/product/pk-6174-gery-pool/
27098	6173-black-pool	PK-6173 Black Pool	30802	https://patex.com.pk/product/6173-black-pool/
27021	pk-6172-premium-walnut	PK-6172 Premium Walnut	30973	https://patex.com.pk/product/pk-6172-premium-walnut/
27020	pk-6171-canyon-oak	PK-6171 Canyon Oak	30972	https://patex.com.pk/product/pk-6171-canyon-oak/
27018	pk-6170-sultan	PK-6170 Sultan	30971	https://patex.com.pk/product/pk-6170-sultan/
27017	pk-6169-grey-classic-oak	PK-6169 Grey Classic Oak	30970	https://patex.com.pk/product/pk-6169-grey-classic-oak/
27016	pk-6168-tiger-ash	PK-6168 Tiger Ash	30969	https://patex.com.pk/product/pk-6168-tiger-ash/
27005	pk-6167-snowy-oak	PK-6167 Snowy Oak	30968	https://patex.com.pk/product/pk-6167-snowy-oak/
27000	pk-6166-brown-natural-oak	PK-6166 Brown Natural Oak	30967	https://patex.com.pk/product/pk-6166-brown-natural-oak/
26485	6083-natural-teak	PK-6083 Natural Teak	30953	https://patex.com.pk/product/6083-natural-teak/
26482	6076-golden-beech	PK-6076 Golden Beech	30952	https://patex.com.pk/product/6076-golden-beech/
26475	6075-hampton-walnut	PK-6075 Hampton Walnut	30951	https://patex.com.pk/product/6075-hampton-walnut/
26468	6070-ebony-woods	PK-6070 Ebony Woods	30784	https://patex.com.pk/product/6070-ebony-woods/
26461	6061-sanibel-maple	PK-6061 Sanibel Maple	30948	https://patex.com.pk/product/6061-sanibel-maple/
26455	6026-millennium-oak	PK-6026 Millennium Oak	30932	https://patex.com.pk/product/6026-millennium-oak/
26452	6025-vinatge-oak	PK-6025 Vintage Oak	30931	https://patex.com.pk/product/6025-vinatge-oak/
26334	ep-185-grey-urban-oak	PK-6197 Grey Urban Oak	30988	https://patex.com.pk/product/ep-185-grey-urban-oak/
24150	6153-masa-teak	PK-6153 Masa Teak	30956	https://patex.com.pk/product/6153-masa-teak/
24147	6066-medium-brigde-oak	PK-6066 Medium Bridge Oak	30950	https://patex.com.pk/product/6066-medium-brigde-oak/
24135	6065-machiato-walnut	PK-6065 Machiato Walnut	30949	https://patex.com.pk/product/6065-machiato-walnut/
24132	6057-classic-oak	PK-6057 Classic Oak	30947	https://patex.com.pk/product/6057-classic-oak/
24129	6052-arabian-acacia	PK-6052 Arabian Acacia	30945	https://patex.com.pk/product/6052-arabian-acacia/
24126	6049-maple	PK-6049 Maple	30943	https://patex.com.pk/product/6049-maple/
24124	6043-arizona-cherry	PK-6043 Arizona Cherry	30942	https://patex.com.pk/product/6043-arizona-cherry/
24122	6042-bavarian-beech	PK-6042 Bavarian Beech	30941	https://patex.com.pk/product/6042-bavarian-beech/
24119	6039-melibocus-beech	PK-6039 Melibocus Beech	30940	https://patex.com.pk/product/6039-melibocus-beech/
24117	6038-secon-beech	PK-6038 Secon Beech	30939	https://patex.com.pk/product/6038-secon-beech/
24115	6037-amcrang-beech	PK-6037 Amcrang Beech	30938	https://patex.com.pk/product/6037-amcrang-beech/
24111	6024-warsaw-teak	PK-6024 Warsaw Teak	30930	https://patex.com.pk/product/6024-warsaw-teak/
24107	6022-antique-oak	6022 Antique Oak	24079	https://patex.com.pk/product/6022-antique-oak/
24101	6020-african-walnut	PK-6020 African Walnut	30929	https://patex.com.pk/product/6020-african-walnut/
24099	6016-inntal-beech	PK-6016 Inntal Beech	30928	https://patex.com.pk/product/6016-inntal-beech/
24072	6013-white-ash	PK-6013 White Ash	30927	https://patex.com.pk/product/6013-white-ash/
24070	6012-bellavista-oak	PK-6012 Bellavista Oak	30926	https://patex.com.pk/product/6012-bellavista-oak/
24067	6011-torino-oak	PK-6011 Torino Oak	30925	https://patex.com.pk/product/6011-torino-oak/
24057	6006-dinara-walnut	PK-6006 Dinara Walnut	30924	https://patex.com.pk/product/6006-dinara-walnut/
24039	6078-ajrak	PK-6078 Ajrak	30794	https://patex.com.pk/product/6078-ajrak/
24035	6077-soho-stripex-lamination	PK-6077 Soho Stripes	30792	https://patex.com.pk/product/6077-soho-stripex-lamination/
24032	6071-funky-stripex	PK-6071 Funky Stripes	30787	https://patex.com.pk/product/6071-funky-stripex/
24027	6063-square-woven	PK-6063 Square Woven	30778	https://patex.com.pk/product/6063-square-woven/
24018	5521-golden-leaves	PK-5521 Golden Leaves	30766	https://patex.com.pk/product/5521-golden-leaves/
24013	5519-ancient-oak	PK-5519 Ancient Oak	30760	https://patex.com.pk/product/5519-ancient-oak/
24012	5518-vintage-oak	PK-5518 Vintage Oak	30757	https://patex.com.pk/product/5518-vintage-oak/
24004	5514-red-flower	PK-5514 Red Flower	30755	https://patex.com.pk/product/5514-red-flower/
23999	5513-flower-madrid	PK-5513 Flower Madrid	30752	https://patex.com.pk/product/5513-flower-madrid/
23996	5512-flower-granada	PK-5512 Flower Granada	30749	https://patex.com.pk/product/5512-flower-granada/
23974	5506-red-rock-lamination	PK-5506 Red Rock	30742	https://patex.com.pk/product/5506-red-rock-lamination/
23939	5477-metallica	PK-5477 Metallica	30730	https://patex.com.pk/product/5477-metallica/
23938	5476-fabric	PK-5476 Fabric	30728	https://patex.com.pk/product/5476-fabric/
23937	5475-silver-fabric	PK-5475 Silver Fabric	30726	https://patex.com.pk/product/5475-silver-fabric/
23911	5444-bahia-garanite-2	PK-5444 Bahia Granite 2	30718	https://patex.com.pk/product/5444-bahia-garanite-2/
23885	5409-silver-grid-b	PK-5409 Silver Grid-B	30715	https://patex.com.pk/product/5409-silver-grid-b/
23872	2316-banu-teak	PK-2316 Banu Teak	30922	https://patex.com.pk/product/2316-banu-teak/
23871	2079-niagra-oak	PK-2079 Niagra Oak	30921	https://patex.com.pk/product/2079-niagra-oak/
23865	2061-colombian-walnut	PK-2061 Colombian Walnut	30920	https://patex.com.pk/product/2061-colombian-walnut/
23857	pk-1088	PK-1088 Euro Blue	30886	https://patex.com.pk/product/pk-1088/
23856	1084-chinese-bright-red	PK-1084 Chinese Bright Red	30883	https://patex.com.pk/product/1084-chinese-bright-red/
23855	1083-matcha-green	PK-1083 Macha Green	30882	https://patex.com.pk/product/1083-matcha-green/
23854	1082-holly-berry	PK-1082 Holly Berry	30881	https://patex.com.pk/product/1082-holly-berry/
23853	1080-chrome-yellow	PK-1080 Chrome Yellow	30880	https://patex.com.pk/product/1080-chrome-yellow/
23845	1079-u-fone-orange	PK-1079 Ufone Orange	30879	https://patex.com.pk/product/1079-u-fone-orange/
23844	1078-royal-navy-blue	1078 Royal Navy Blue	23764	https://patex.com.pk/product/1078-royal-navy-blue/
23843	1044-steel-grey	PK-1044 Steel Grey	30868	https://patex.com.pk/product/1044-steel-grey/
23833	1036-rose-red	PK-1036 Rose Red	30867	https://patex.com.pk/product/1036-rose-red/
23832	1021-ivory-cream	PK-1021 Ivory Cream	30866	https://patex.com.pk/product/1021-ivory-cream/
23831	1019-mangolia	PK-1019 Mangolia	30865	https://patex.com.pk/product/1019-mangolia/
23830	1016-grey	PK-1016 Grey	30864	https://patex.com.pk/product/1016-grey/
